po,material,qty
1100095347-60,794600078901,4.0
1100095528-40,794600078901,2.0
1100095528-50,794600083503,1.0
1100095348-10,794600083503,2.0
1100095374-10,794600084001,1.0
1100095528-60,794600084001,1.0
1100095348-20,794600084001,2.0
1100095348-30,794600089200,1.0
1100095528-70,794600092100,1.0
1100095348-40,794600092100,1.0
1100095528-80,794600096600,1.0
1100095348-50,794600096600,1.0
1100095528-90,794600104101,1.0
1100095348-60,794600104101,1.0
1100095348-70,794600113600,2.0
1100095348-80,794600113700,1.0
1100095348-90,794600124700,1.0
1100095062-10,8014000425C0,1.0
1100095063-10,8014000430A0,1.0
1100095063-20,8015002891A0,1.0
1100095062-20,8015002891A0,1.0
1100095158-10,8309000691A0,10.0
1100095176-10,8316001114A0,2.0
1100095446-10,891000050102,1.0
1100095381-10,891000060001,1.0
1100095459-10,8912000934A0,1.0
1100095197-10,8915000808B1,200.0
1100095198-10,8915000808B1,200.0
1100095062-30,8917010793A0,2.0
1100095062-50,8917011040A0,1.0
1100095063-30,8917011040A0,1.0
1100095062-40,8917011434B0,1.0
1100095459-20,8917014768A0,1.0
1100095459-30,8917014777A0,1.0
1100094984-10,8919001651A0,1.0
1100095445-10,893400204103,1.0
1100095515-10,893400385800001,1.0
1100095445-20,893400401000,1.0
1100095445-30,893400401400,1.0
1100095446-20,893400449600,1.0
1100095457-10,916000002900,2.0
1100095029-40,925500003900017,4.0
1100095029-50,925500003900023,2.0
1100095026-10,925500009001006,1.0
1100095026-30,925500020501001,1.0
1100095029-10,925500020501020,8.0
1100095029-20,925500020501021,2.0
1100095029-30,925500020501022,2.0
